condition,degradation_ratio,yolo_label,objects,prototype_accuracy,head_accuracy,avg_prototype_similarity,avg_head_confidence
pixel_50,0.5,Motorcycle,2.0,0.5,0.5,0.5900927186012268,0.31844165747829345
pixel_50,0.5,Stairs,2.0,0.5,0.5,0.6202818751335144,0.5869490693825906
pixel_50,0.5,Traffic Cone,3.0,0.3333333333333333,0.6666666666666666,0.59390256802241,0.4358414802702492
pixel_50,0.5,Dustbin,4.0,0.75,0.75,0.6426161825656891,0.6004971658193662
pixel_50,0.5,Car,6.0,1.0,1.0,0.5888880292574564,0.8835125210834619
pixel_50,0.5,Tree,4.0,1.0,1.0,0.5701193064451218,0.888426368893995
pixel_50,0.5,Person,1.0,1.0,1.0,0.6547098159790039,0.8024886116213521
pixel_50,0.5,Truck,1.0,1.0,1.0,0.6348828673362732,0.619219491733353
pixel_75,0.75,Dog,4.0,0.0,0.0,0.5899383723735809,0.39421272492443793
pixel_75,0.75,Guard rail,4.0,0.0,0.0,0.5293081700801849,0.4532033442813904
pixel_75,0.75,Bus,2.0,0.0,0.0,0.5752358138561249,0.2690296762677863
pixel_75,0.75,Chair,2.0,0.0,0.0,0.5101455748081207,0.42831766822586737
pixel_75,0.75,Electrical Box,2.0,0.0,0.0,0.6269403100013733,0.22539653798157885
pixel_75,0.75,Motorcycle,2.0,0.0,0.0,0.5476786494255066,0.5426444947777888
pixel_75,0.75,Pedestrian crosswalk,2.0,0.0,0.0,0.5146872401237488,0.4152472590379007
pixel_75,0.75,Traffic sign,2.0,0.0,0.0,0.5624284744262695,0.3813605697760488
pixel_75,0.75,Bench,1.0,0.0,0.0,0.5325695872306824,0.16781859792300097
pixel_75,0.75,Building,1.0,0.0,0.0,0.5408656597137451,0.22270693913173994
pixel_75,0.75,Truck,1.0,0.0,0.0,0.5359396934509277,0.3881344736626273
pixel_75,0.75,Manhole,6.0,0.3333333333333333,0.16666666666666666,0.5689967026313146,0.4473868956546874
pixel_75,0.75,Traffic Cone,3.0,0.3333333333333333,0.3333333333333333,0.5943670272827148,0.44484102173916845
pixel_75,0.75,Car,6.0,0.5,0.5,0.5835979680220286,0.4971516544298585
pixel_75,0.75,Stairs,2.0,0.5,0.5,0.6182094812393188,0.6322668797252167
pixel_75,0.75,Dustbin,4.0,0.75,0.75,0.6348690986633301,0.5433120330585595
pixel_75,0.75,Tree,4.0,0.5,0.75,0.5438506454229355,0.5316331612560539
pixel_75,0.75,Person,1.0,1.0,1.0,0.6411569118499756,0.7169240796536218
